Symbol,Name,IndustryCode,Industry
IMO,Imperial Oil Ltd,50102030,"오일, 가스 정제 및 마케팅"
CBOE,Cboe Global Markets Inc,55102050,"금융, 상품 시장 운영 및 서비스 제공"
PHYS,Sprott Physical Gold Trust,55501030,폐쇄형 펀드
SIM,Grupo Simec SAB de CV ADR,51201020,철 및 강철
CEF,Sprott Physical Gold and Silver Trust USD,55501030,폐쇄형 펀드
PSLV,Sprott Physical Silver Trust USD,55501030,폐쇄형 펀드
BTG,B2Gold Corp,51201060,금
SEB,Seaboard Corp,54102020,식품 가공
UEC,Uranium Energy Corp,50301010,우라늄
GSAT,Globalstar Inc,57401020,무선 통신 서비스
PRK,Park National Corp,55101010,은행
UTG,Reaves Utility Income Closed Fund,55501030,폐쇄형 펀드
DNN,Denison Mines Corp,50301010,우라늄
CLM,Cornerstone Strategic Value Closed Fund,55501030,폐쇄형 펀드
EQX,Equinox Gold Corp,51201060,금
NHC,National Healthcare Corp,56102010,의료 시설 및 서비스
FLYX,Flyexclusive Inc,52406010,항공사
ORLA,Orla Mining Ltd,51201060,금
EVV,Eaton Vance Limited Duration Income Closed Fund,55501030,폐쇄형 펀드
CET,Central Securities Closed Fund,55501030,폐쇄형 펀드
IE,Ivanhoe Electric Inc,51201080,다각적 채굴
JWSM.U,Jaws Mustang Acquisition Units,55601010,투자 지주 회사
NGD,New Gold Inc,51201060,금
UUUU,Energy Fuels Inc,50301010,우라늄
MAG,MAG Silver Corp,51201010,금 제외 귀금속 및 광물
NG,NovaGold Resources Inc,51201060,금
SKYH,Sky Harbour Group Corp,52407010,공항 운영 및 서비스
SILV,Silvercrest Metals Inc,51201010,금 제외 귀금속 및 광물
CRF,Cornerstone Total Return Closed Fund,55501030,폐쇄형 펀드
EIM,Eaton Vance Municipal Bond Closed Fund,55501030,폐쇄형 펀드
TMP,Tompkins Financial Corp,55101010,은행
FAX,abrdn Asia Pacific Income Mutual Fund,55501030,폐쇄형 펀드
LEU,Centrus Energy Corp,50301010,우라늄
NFGC,New Found Gold Corp,51201060,금
TELL,Tellurian Inc,50102020,"오일, 가스 탐사 및 생산"
CATX,Perspective Therapeutics Inc,56101020,"의료 장비, 물품 및 유통"
GGN,GAMCO Global Gold Natural Resources and Income Closed Fund,55501030,폐쇄형 펀드
REPX,Riley Exploration Permian Inc,50102020,"오일, 가스 탐사 및 생산"
OBE,Obsidian Energy Ltd,50102020,"오일, 가스 탐사 및 생산"
SVM,Silvercorp Metals Inc,51201010,금 제외 귀금속 및 광물
TGB,Taseko Mines Ltd,51201050,특수 채굴 및 금속
URG,Ur-Energy Inc,50301010,우라늄
AEON,Aeon Biopharma Inc,56202010,생명 공학 및 의학 연구
IAUX,I-80 Gold Corp,51201060,금
ARMN,Aris Mining Corp,51201060,금
NSTB.U,Northern Star Investment Redeemable Units,55601010,투자 지주 회사
PLM,Polymet Mining Corp,51201080,다각적 채굴
NML,Neuberger Berman Energy Infrastructure and Income,55501030,폐쇄형 펀드
EAD,Allspring Income Opportunities Mutual Fund,55501030,폐쇄형 펀드
