Symbol,Name,IndustryCode,Industry
MSFT,Microsoft Corp,57201020,소프트웨어
AAPL,Apple Inc,57106020,전화 및 소형 장치
NVDA,NVIDIA Corp,57101010,반도체
AMZN,Amazon.com Inc,53402010,백화점
META,Meta Platforms Inc,57201030,온라인 서비스
GOOGL,Alphabet Inc Class A,57201030,온라인 서비스
GOOG,Alphabet Inc Class C,57201030,온라인 서비스
AVGO,Broadcom Inc,57101010,반도체
TSLA,Tesla Inc,53101010,자동차 및 트럭 제조
ASML,ASML Holding NV ADR,57101020,반도체 장비 및 테스트
COST,Costco Wholesale Corp,53402020,할인점
AMD,Advanced Micro Devices Inc,57101010,반도체
NFLX,Netflix Inc,57201030,온라인 서비스
ADBE,Adobe Inc,57201020,소프트웨어
PEP,PepsiCo Inc,54101030,무알콜 음료
LIN,Linde PLC,51101010,상품 화학
AZN,AstraZeneca PLC ADR,56201040,제약
CSCO,Cisco Systems Inc,57102010,통신 및 네트워킹
QCOM,Qualcomm Inc,57101010,반도체
INTC,Intel Corp,57101010,반도체
TMUS,T-Mobile US Inc,57401020,무선 통신 서비스
INTU,Intuit Inc,57301010,핀테크
AMAT,Applied Materials Inc,57101020,반도체 장비 및 테스트
CMCSA,Comcast Corp,57401020,무선 통신 서비스
TXN,Texas Instruments Inc,57101010,반도체
PDD,PDD Holdings Inc ADR,57201030,온라인 서비스
AMGN,Amgen Inc,56201040,제약
ARM,Arm Holdings PLC ADR,57101010,반도체
ISRG,Intuitive Surgical Inc,56101010,첨단 의료 장비 및 기술
HON,Honeywell International Inc,54401010,소비재 대기업
LRCX,Lam Research Corp,57101020,반도체 장비 및 테스트
SNY,Sanofi SA ADR,56201040,제약
BKNG,Booking Holdings Inc,53301040,여가 및 오락시설
MU,Micron Technology Inc,57101010,반도체
REGN,Regeneron Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
VRTX,Vertex Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
ABNB,Airbnb Inc,57201030,온라인 서비스
SBUX,Starbucks Corp,53301020,레스토랑 및 바
ADP,Automatic Data Processing Inc,57201010,IT 서비스 및 컨설팅
ADI,Analog Devices Inc,57101010,반도체
KLAC,KLA Corp,57101020,반도체 장비 및 테스트
MDLZ,Mondelez International Inc,54102020,식품 가공
PANW,Palo Alto Networks Inc,57201020,소프트웨어
GILD,Gilead Sciences Inc,56201040,제약
SNPS,Synopsys Inc,57201020,소프트웨어
CDNS,Cadence Design Systems Inc,57201020,소프트웨어
EQIX,Equinix Inc,60102040,특수 REITs
CRWD,CrowdStrike Holdings Inc,57201010,IT 서비스 및 컨설팅
MELI,MercadoLibre Inc,57201030,온라인 서비스
CME,CME Group Inc,55102050,"금융, 상품 시장 운영 및 서비스 제공"
CSX,CSX Corp,52405030,지상 화물 및 물류
MRVL,Marvell Technology Inc,57101010,반도체
MAR,Marriott International Inc,53301010,"호텔, 모텔 및 크루즈 라인"
WDAY,Workday Inc,57201020,소프트웨어
NTES,NetEase Inc ADR,57201030,온라인 서비스
NXPI,NXP Semiconductors NV,57101010,반도체
SMCI,Super Micro Computer Inc,57106010,컴퓨터 하드웨어
ORLY,O'Reilly Automotive Inc,53403010,"자동차 차량, 부품 및 서비스 소매"
CTAS,Cintas Corp,52203040,경영 지원 서비스
PYPL,PayPal Holdings Inc,52203040,경영 지원 서비스
MNST,Monster Beverage Corp,54101030,무알콜 음료
PCAR,Paccar Inc,52102020,중장비 및 차량
COIN,Coinbase Global Inc,57301030,블록 체인 및 암호화폐
ROP,Roper Technologies Inc,57201020,소프트웨어
CEG,Constellation Energy Corp,59101010,전력 유틸리티
FTNT,Fortinet Inc,57201020,소프트웨어
LULU,Lululemon Athletica Inc,53202020,의류 및 액세서리
ADSK,Autodesk Inc,57201020,소프트웨어
DASH,DoorDash Inc,57201030,온라인 서비스
CPRT,Copart Inc,57201030,온라인 서비스
TEAM,Atlassian Corp,57201020,소프트웨어
DXCM,Dexcom Inc,56101020,"의료 장비, 물품 및 유통"
MCHP,Microchip Technology Inc,57101010,반도체
ROST,Ross Stores Inc,53403040,의류 및 액세서리 소매
ODFL,Old Dominion Freight Line Inc,52405030,지상 화물 및 물류
IDXX,IDEXX Laboratories Inc,56101020,"의료 장비, 물품 및 유통"
IBKR,Interactive Brokers Group Inc,55102010,투자 은행 및 중개 서비스
AEP,American Electric Power Company Inc,59101010,전력 유틸리티
PAYX,Paychex Inc,52203030,고용 서비스
FAST,Fastenal Co,52102010,산업용 기계 및 장비
GEHC,GE Healthcare Technologies Inc,56101010,첨단 의료 장비 및 기술
KHC,Kraft Heinz Co,54102020,식품 가공
CHTR,Charter Communications Inc,57401010,통합 통신 서비스
DDOG,Datadog Inc,57201020,소프트웨어
KDP,Keurig Dr Pepper Inc,54101030,무알콜 음료
TTD,Trade Desk Inc,57201020,소프트웨어
LI,Li Auto Inc ADR,53101010,자동차 및 트럭 제조
CTSH,Cognizant Technology Solutions Corp,57201010,IT 서비스 및 컨설팅
MRNA,Moderna Inc,56202010,생명 공학 및 의학 연구
JD,JD.Com Inc ADR,53402010,백화점
MPWR,Monolithic Power Systems Inc,57101010,반도체
EXC,Exelon Corp,59101010,전력 유틸리티
